case_name,array_type,provenance_kind,source_calibrated,source_velocity_peak_m_s,mode,architecture,pattern,frequency_hz,curing_fraction_requested,active_elements,active_area_m2,normalization,max_weight,squared_velocity_area_m4_s2,target_coverage,off_target_exposure,target_uniformity_cv,above_threshold_volume_m3,target_volume_m3,off_target_volume_m3,width_x_6db_m,width_y_6db_m,secondary_x_db,secondary_y_db,secondary_x_status,secondary_y_status,peak_pressure_pa,reference_pressure_pa,reference_intensity_ta_w_m2,duty_cycle,exposure_time_s,threshold_type,threshold_scale,threshold_value_si,intensity_basis
focused_shared,linear,synthetic,0,0.01,focused,shared,shared,2500000,0.5,32,1.2e-05,fixed_element,1,1.2e-09,0.340127388535031,0.0448169386854926,0.684036691942819,7.31499999999993e-08,2.49772727272728e-08,1.44263636363619e-06,0.00116978442281969,0.0074592547671722,-13.2430356950226,NaN,ok,unbracketed_main_lobe,21078.6421731053,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
focused_central_curing,linear,synthetic,0,0.01,focused,partitioned,central_curing,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0.0254777070063693,0.00882223202470337,0.381986054078369,1.33636363636364e-08,2.49772727272728e-08,1.44263636363619e-06,0.00228253467404619,0.00737901583821431,-13.2599205048864,NaN,ok,unbracketed_main_lobe,16075.717614732,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
focused_peripheral_curing,linear,synthetic,0,0.01,focused,partitioned,peripheral_curing,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0.00127388535031847,0.000573445081605717,0.504190534405234,8.59090909090909e-10,2.49772727272728e-08,1.44263636363619e-06,0.000827175103500541,0.00755922907994837,-1.51496797943764,NaN,ok,unbracketed_main_lobe,10877.7314851681,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
focused_checkerboard,linear,synthetic,0,0.01,focused,partitioned,checkerboard,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,2.20555800617584e-05,0.682738947114045,3.18181818181818e-11,2.49772727272728e-08,1.44263636363619e-06,0.00117108351613765,0.0074592547671722,-13.1558043629899,NaN,ok,unbracketed_main_lobe,10539.3210865526,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
focused_random_sparse,linear,synthetic,0,0.01,focused,partitioned,random_sparse,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,0,0.581679382438715,0,2.49772727272728e-08,1.44263636363619e-06,0.00121899195292362,0.00745240633831889,-10.2594586588918,NaN,ok,unbracketed_main_lobe,10533.5620436719,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
broad_shared,linear,synthetic,0,0.01,broad,shared,shared,2500000,0.5,32,1.2e-05,fixed_element,1,1.2e-09,0,0,0.117440135601625,0,2.49772727272728e-08,1.44263636363619e-06,0.00923230783633023,0.00733316891072192,0.546904135353438,NaN,ok,unbracketed_main_lobe,10289.1720517204,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
broad_central_curing,linear,synthetic,0,0.01,broad,partitioned,central_curing,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,0,0.232833188061933,0,2.49772727272728e-08,1.44263636363619e-06,0.0028597221261811,0.00742472486742824,-14.5255863806038,NaN,ok,unbracketed_main_lobe,9864.92335324511,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
broad_peripheral_curing,linear,synthetic,0,0.01,broad,partitioned,peripheral_curing,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,0,0.406707828856523,0,2.49772727272728e-08,1.44263636363619e-06,NaN,NaN,10.4977812972505,NaN,ok,unbracketed_main_lobe,9214.31249020887,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
broad_checkerboard,linear,synthetic,0,0.01,broad,partitioned,checkerboard,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,0,0.132885721826115,0,2.49772727272728e-08,1.44263636363619e-06,0.00931070374790891,0.00733316891072192,0.795799199981805,NaN,ok,unbracketed_main_lobe,5289.96733077842,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
broad_random_sparse,linear,synthetic,0,0.01,broad,partitioned,random_sparse,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,0,0.288290678714272,0,2.49772727272728e-08,1.44263636363619e-06,0.00507881577105405,0.00736051009066467,2.82940686646253,NaN,ok,unbracketed_main_lobe,9435.33583962669,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
expanded_shared,linear,synthetic,0,0.01,expanded,shared,shared,2500000,0.5,32,1.2e-05,fixed_element,1,1.2e-09,0.668789808917197,0.129135421261593,0.291406155732618,2.02999999999997e-07,2.49772727272728e-08,1.44263636363619e-06,0.00116978442281969,0.0074592547671722,-0.0521206478299685,NaN,ok,unbracketed_main_lobe,21078.6421731053,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
expanded_central_curing,linear,synthetic,0,0.01,expanded,partitioned,central_curing,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0.0331210191082801,0.0271283634759628,0.0963686975275654,3.99636363636363e-08,2.49772727272728e-08,1.44263636363619e-06,0.00531810968682408,0.00737901583821431,-0.0588770452381196,NaN,ok,unbracketed_main_lobe,16075.717614732,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
expanded_peripheral_curing,linear,synthetic,0,0.01,expanded,partitioned,peripheral_curing,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0.00127388535031847,0.00114689016321143,0.262842782665779,1.68636363636364e-09,2.49772727272728e-08,1.44263636363619e-06,0.00387343860552938,0.00755922907994837,-0.0451320902600915,NaN,ok,unbracketed_main_lobe,10877.7314851681,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
expanded_checkerboard,linear,synthetic,0,0.01,expanded,partitioned,checkerboard,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,0,0.291139105363969,0,2.49772727272728e-08,1.44263636363619e-06,0.00117108351613765,0.0074592547671722,-0.0417424388992437,NaN,ok,unbracketed_main_lobe,10539.3210865526,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
expanded_random_sparse,linear,synthetic,0,0.01,expanded,partitioned,random_sparse,2500000,0.5,16,6e-06,fixed_element,1,6e-10,0,4.41111601235167e-05,0.271004166962328,6.36363636363636e-11,2.49772727272728e-08,1.44263636363619e-06,0.00423527910158587,0.00745240633831889,-0.0489816769316941,NaN,ok,unbracketed_main_lobe,10574.0054103634,21078.6421731053,29.6206103907875,0.2,1,pressure,relative,10539.3210865526,temporal_average
